ProductID,ProductName,Category,Brand,Price,Rating,NumberOfReviews,StockQuantity,DiscountPercentage,WarrantyMonths,SoldUnits,DemandLevel
EOS-00001,Meta Retro Console L461,Gaming Console,Meta,527.98,4.5,163,128,4,12,521,Medium
EOS-00002,JBL Wireless Headphones F783,Headphones,JBL,186.91,3.5,267,117,6,24,404,Medium
EOS-00003,JBL Earbuds B607,Headphones,JBL,190.65,4.2,100,173,28,6,378,Low
EOS-00004,Sony Wireless Headphones V823,Headphones,Sony,93.47,4.3,87,138,17,24,613,High
EOS-00005,Meta Console Bundle R171,Gaming Console,Meta,195.52,3.8,103,110,32,24,465,Medium
EOS-00006,GoPro DSLR Camera O869,Camera,GoPro,1354.25,4.4,114,190,12,36,328,Low
EOS-00007,Lenovo Kids Tablet R726,Tablet,Lenovo,390.54,4.1,228,161,7,12,390,Low
EOS-00008,Motorola 5G Phone N404,Smartphone,Motorola,736.63,4.2,234,100,14,12,304,Low
EOS-00009,Samsung 4K Monitor S732,Monitor,Samsung,447.06,4.7,113,64,12,12,576,Medium
EOS-00010,Microsoft Kids Tablet P780,Tablet,Microsoft,527.96,3.2,157,146,15,24,386,Low
EOS-00011,HP Ultrabook M364,Laptop,HP,1771.66,4.2,373,85,3,24,399,Low
EOS-00012,Razer USB-C Hub M589,Accessory,Razer,99.8,4.5,455,159,3,12,451,Medium
EOS-00013,Bose Earbuds A943,Headphones,Bose,255.8,4.1,132,12,9,6,572,Medium
EOS-00014,Acer Business Notebook X659,Laptop,Acer,713.83,3.5,83,72,25,12,628,High
EOS-00015,Motorola Budget Phone Y401,Smartphone,Motorola,725.23,3.7,169,141,13,24,566,Medium
EOS-00016,Microsoft Mini Tablet C747,Tablet,Microsoft,944.72,4.1,51,245,35,12,476,Medium
EOS-00017,Apple Foldable Phone I366,Smartphone,Apple,792.55,3.8,148,153,31,12,345,Low
EOS-00018,Hisense Mini LED TV P382,TV,Hisense,1887.55,3.8,273,132,9,12,636,High
EOS-00019,Motorola 5G Phone Y763,Smartphone,Motorola,536.47,4.1,455,136,17,24,554,Medium
EOS-00020,Sennheiser Earbuds U202,Headphones,Sennheiser,182.5,4.7,82,0,13,12,392,Low
EOS-00021,LG 4K Monitor L386,Monitor,LG,1381.66,3.3,58,316,0,24,363,Low
EOS-00022,Motorola Budget Phone X563,Smartphone,Motorola,721.55,3.8,135,113,11,12,450,Medium
EOS-00023,Logitech Noise Cancelling Headphones I106,Headphones,Logitech,162.17,4.0,83,123,40,12,477,Medium
EOS-00024,Amazfit Hybrid Watch C664,Smartwatch,Amazfit,538.39,4.1,208,194,20,24,429,Medium
EOS-00025,Meta VR Bundle D248,Gaming Console,Meta,336.29,4.1,374,128,17,12,369,Low
EOS-00026,Xiaomi Foldable Phone J513,Smartphone,Xiaomi,875.22,3.8,142,106,30,24,691,High
EOS-00027,Samsung Gaming Monitor Q671,Monitor,Samsung,769.29,3.8,156,199,0,36,478,Medium
EOS-00028,TCL QLED TV C748,TV,TCL,616.14,4.0,54,235,22,36,467,Medium
EOS-00029,Asus Creator Laptop Q225,Laptop,Asus,907.17,4.6,226,151,15,36,445,Medium
EOS-00030,Apple Gaming Laptop D814,Laptop,Apple,1887.55,4.0,262,186,27,36,470,Medium
EOS-00031,Samsung Drawing Tablet E225,Tablet,Samsung,562.46,4.5,60,233,6,24,546,Medium
EOS-00032,Logitech Webcam S749,Accessory,Logitech,126.58,4.3,455,0,34,24,641,High
EOS-00033,Microsoft Tablet L138,Tablet,Microsoft,331.11,4.2,214,31,0,24,521,Medium
EOS-00034,Logitech Power Bank R359,Accessory,Logitech,527.96,4.4,175,80,12,24,520,Medium
EOS-00035,Dell 2-in-1 Laptop A860,Laptop,Dell,1767.2,2.9,47,0,6,36,350,Low
EOS-00036,Samsung Ultrawide Monitor B569,Monitor,Samsung,374.89,4.7,159,88,0,12,570,Medium
EOS-00037,GoPro Vlogging Camera B588,Camera,GoPro,615.67,4.3,135,194,7,12,403,Medium
EOS-00038,Panasonic Action Camera O721,Camera,Panasonic,1157.26,4.7,114,204,11,36,510,Medium
EOS-00039,Sony Gaming Headset D953,Headphones,Sony,163.35,4.1,300,153,14,12,330,Low
EOS-00040,Microsoft Pro Tablet A321,Tablet,Microsoft,414.83,5.0,305,154,10,24,631,High
EOS-00041,Samsung Fitness Watch L321,Smartwatch,Samsung,315.9,5.0,175,136,21,24,470,Medium
EOS-00042,Samsung Gaming Monitor M911,Monitor,Samsung,698.19,4.4,302,109,20,12,395,Low
EOS-00043,AOC Office Monitor W792,Monitor,AOC,979.08,4.5,83,0,8,36,399,Low
EOS-00044,Hisense Mini LED TV K280,TV,Hisense,1307.23,4.0,253,176,6,36,499,Medium
EOS-00045,Belkin Wireless Mouse D945,Accessory,Belkin,163.01,3.8,371,148,33,6,355,Low
EOS-00046,Apple Budget Phone H814,Smartphone,Apple,465.59,4.6,10,11,5,24,447,Medium
EOS-00047,Apple Creator Laptop J208,Laptop,Apple,527.96,4.4,195,150,39,24,439,Medium
EOS-00048,Lenovo Mini Tablet M646,Tablet,Lenovo,375.63,3.5,141,133,5,12,510,Medium
EOS-00049,JBL Studio Headphones H685,Headphones,JBL,82.52,4.0,179,143,0,12,574,Medium
EOS-00050,LG OLED TV Z238,TV,LG,1095.21,3.4,241,47,4,24,460,Medium
EOS-00051,Philips Smart TV T166,TV,Philips,1032.91,3.1,48,93,24,24,367,Low
EOS-00052,HP 2-in-1 Laptop O690,Laptop,HP,913.6,4.3,249,12,21,12,442,Medium
EOS-00053,AOC Curved Monitor T782,Monitor,AOC,730.77,4.1,91,99,15,24,439,Medium
EOS-00054,Asus Gaming Monitor R878,Monitor,Asus,331.83,2.7,403,101,0,24,426,Medium
EOS-00055,Acer Creator Laptop I545,Laptop,Acer,621.04,4.4,455,106,13,24,490,Medium
EOS-00056,JBL Earbuds D965,Headphones,JBL,335.38,3.4,223,69,17,12,249,Low
EOS-00057,Amazfit Fitness Watch H868,Smartwatch,Amazfit,303.64,3.1,33,93,0,24,365,Low
EOS-00058,Apple Tablet E522,Tablet,Apple,1300.0,4.2,195,187,22,24,285,Low
EOS-00059,Samsung Smartwatch C614,Smartwatch,Samsung,256.23,3.8,186,196,0,12,262,Low
EOS-00060,Bose Gaming Headset N307,Headphones,Bose,261.27,3.9,62,203,3,6,409,Medium
EOS-00061,Lenovo Gaming Laptop C305,Laptop,Lenovo,763.63,4.0,127,20,23,36,475,Medium
EOS-00062,Motorola Smartphone M386,Smartphone,Motorola,391.68,4.8,182,50,1,24,605,High
EOS-00063,Logitech Webcam A352,Accessory,Logitech,122.99,4.4,33,200,29,12,343,Low
EOS-00064,Sony DSLR Camera E233,Camera,Sony,831.87,3.5,150,58,39,36,508,Medium
EOS-00065,Sony Console Bundle P859,Gaming Console,Sony,660.97,4.3,245,153,0,12,293,Low
EOS-00066,Hisense 4K TV I930,TV,Hisense,1402.13,4.7,150,53,19,24,428,Medium
EOS-00067,Belkin Power Bank P408,Accessory,Belkin,87.11,4.1,154,54,13,6,440,Medium
EOS-00068,LG Curved Monitor A786,Monitor,LG,829.6,4.6,291,70,1,24,582,Medium
EOS-00069,Hisense Smart TV Z243,TV,Hisense,1082.79,4.1,128,147,8,12,482,Medium
EOS-00070,Xiaomi Budget Phone Z686,Smartphone,Xiaomi,477.8,4.8,54,0,15,12,632,High
EOS-00071,Valve Handheld Console O988,Gaming Console,Valve,226.75,3.8,81,107,32,24,709,High
EOS-00072,Philips OLED TV X403,TV,Philips,1325.94,4.2,455,80,26,36,592,Medium
EOS-00073,Logitech Gaming Headset D530,Headphones,Logitech,184.23,4.2,65,125,16,6,410,Medium
