max_depth,min_samples_split,min_samples_leaf,mean_cv_train_f1_weighted,mean_cv_test_f1_weighted,std_cv_test_f1_weighted,rank
,2,1,1.0,0.43346180571493165,0.018735088142061793,1
,5,1,0.92307004304513,0.4268636827319893,0.023449457950558254,2
,2,2,0.8860470488650162,0.4155455636841713,0.02324128510531287,3
,5,2,0.8655311535897203,0.41527548450445273,0.02513716678120942,4
,10,1,0.8071468493154417,0.4141197216903044,0.015825104572292432,5
,5,5,0.7309894269696131,0.41345125769193025,0.028893103149432563,6
,2,5,0.7309894269696131,0.41345125769193025,0.028893103149432563,6
,10,5,0.7309894269696131,0.41345125769193025,0.028893103149432563,6
,10,2,0.773259712034228,0.41316226426873665,0.01605614950096911,9
,20,5,0.6591669174093985,0.4126490615625804,0.028028666796364853,10
,2,10,0.6260368437701637,0.41126083635882116,0.032249052401651775,11
,5,10,0.6260368437701637,0.41126083635882116,0.032249052401651775,11
,10,10,0.6260368437701637,0.41126083635882116,0.032249052401651775,11
,20,10,0.6260368437701637,0.41126083635882116,0.032249052401651775,11
10,2,1,0.7176594897859797,0.40873711218908315,0.021549844450214208,15
,20,1,0.7026136853867105,0.40862483842321495,0.0158930649933147,16
10,5,1,0.6977305662455889,0.40792008400877816,0.015143159381576092,17
,20,2,0.6847322049428848,0.39880458983324785,0.025147675454025534,18
10,10,1,0.6534285290902786,0.39661569255792944,0.023912997544864638,19
10,20,1,0.600160640311364,0.3963897576155822,0.022324912771144532,20
10,5,2,0.6740258430858715,0.3945582348365681,0.02899409447489194,21
10,2,2,0.6808868502602706,0.3940507756727242,0.025757653996940136,22
10,20,2,0.5920973996295495,0.39189979602804986,0.029936713743222963,23
10,10,2,0.6380103030348907,0.39098770672242655,0.02950600502961679,24
10,10,5,0.6184082864756438,0.38978104754641396,0.021023600504226716,25
10,2,5,0.6184082864756438,0.38978104754641396,0.021023600504226716,25
10,5,5,0.6184082864756438,0.38978104754641396,0.021023600504226716,25
8,5,1,0.5878040680838328,0.3877628605434462,0.01332763859818766,28
8,2,1,0.597219155827817,0.38650735386080276,0.011843969749870757,29
8,5,2,0.5821446317436546,0.3846222104075665,0.01794547756063461,30
8,2,2,0.586660922865913,0.3841525952033483,0.015770222012310976,31
8,10,1,0.5695440354669585,0.38149059695469967,0.014805058142802424,32
8,20,1,0.5414263031424238,0.38126664067672283,0.020132753841871857,33
8,20,2,0.5400401312861725,0.3803147727869992,0.019557554384185268,34
8,10,2,0.5683014735364219,0.3794144218244001,0.01716181470913872,35
10,2,10,0.5460993271981388,0.3780742277163648,0.02466918707532629,36
10,20,10,0.5460993271981388,0.3780742277163648,0.02466918707532629,36
10,10,10,0.5460993271981388,0.3780742277163648,0.02466918707532629,36
10,5,10,0.5460993271981388,0.3780742277163648,0.02466918707532629,36
8,20,10,0.5282352276497091,0.37801215164845037,0.022232322062331323,40
8,10,10,0.5282352276497091,0.37801215164845037,0.022232322062331323,40
8,2,10,0.5282352276497091,0.37801215164845037,0.022232322062331323,40
8,5,10,0.5282352276497091,0.37801215164845037,0.022232322062331323,40
10,20,5,0.5710994199797694,0.3779829871465109,0.02262254314474552,44
8,5,5,0.5594942935970673,0.37784168834663306,0.01689289348089827,45
8,10,5,0.5594942935970673,0.37784168834663306,0.01689289348089827,45
8,2,5,0.5594942935970673,0.37784168834663306,0.01689289348089827,45
8,20,5,0.533004035508528,0.37577458131803365,0.022630465279816114,48
5,5,1,0.4359005432552922,0.35447648276655336,0.06917586702190383,49
5,2,1,0.4360388258399978,0.35447648276655336,0.06917586702190383,49
5,10,1,0.4335484882352986,0.3536820428595929,0.06961409823915136,51
5,2,5,0.4369958115843846,0.35313290211731896,0.06386827072767658,52
5,10,5,0.4369958115843846,0.35313290211731896,0.06386827072767658,52
5,5,5,0.4369958115843846,0.35313290211731896,0.06386827072767658,52
5,5,2,0.43759027773980363,0.3531298204184072,0.07055832731837475,55
5,2,2,0.437956848582445,0.35309935198905473,0.07057613254544373,56
5,20,1,0.4312430263858785,0.3528315624429889,0.06975566841037267,57
5,10,2,0.4354083017916265,0.35164840172991807,0.07039142138598044,58
6,2,10,0.46209703260870716,0.3514179585180623,0.04859145883597499,59
6,5,10,0.46209703260870716,0.3514179585180623,0.04859145883597499,59
6,10,10,0.46209703260870716,0.3514179585180623,0.04859145883597499,59
6,20,10,0.46209703260870716,0.3514179585180623,0.04859145883597499,59
5,20,2,0.43359383852364575,0.3508504464618073,0.07045305079064365,63
5,20,5,0.435224497532028,0.3493595154704242,0.06261152603989724,64
6,5,1,0.4708851653456188,0.34709493028063554,0.0437302057549723,65
5,5,10,0.4303649235514106,0.3469501234940135,0.0583720375079509,66
5,2,10,0.4303649235514106,0.3469501234940135,0.0583720375079509,66
5,10,10,0.4303649235514106,0.3469501234940135,0.0583720375079509,66
5,20,10,0.4303649235514106,0.3469501234940135,0.0583720375079509,66
