ProductID,ProductName,Category,Brand,Price,Rating,NumberOfReviews,StockQuantity,DiscountPercentage,WarrantyMonths,SoldUnits,DemandLevel
EOS-00001,Meta Retro Console L461,Gaming Console,Meta,527.98,4.5,163.0,128.0,4.0,12.0,521,Medium
EOS-00002,JBL Wireless Headphones F783,Headphones,JBL,186.91,3.5,267.0,117.0,6.0,24.0,404,Medium
EOS-00003,JBL Earbuds B607,Headphones,JBL,190.65,4.2,100.0,173.0,28.0,6.0,378,Low
EOS-00004,Sony Wireless Headphones V823,Headphones,Sony,93.47,4.3,87.0,138.0,17.0,24.0,613,High
EOS-00005,Meta Console Bundle R171,Gaming Console,Meta,195.52,3.8,103.0,110.0,32.0,24.0,465,Medium
EOS-00006,GoPro DSLR Camera O869,Camera,GoPro,1354.25,4.4,114.0,190.0,12.0,36.0,328,Low
EOS-00007,Lenovo Kids Tablet R726,Tablet,Lenovo,390.54,4.1,228.0,161.0,7.0,12.0,390,Low
EOS-00008,Motorola 5G Phone N404,Smartphone,Motorola,736.63,4.2,234.0,100.0,14.0,12.0,304,Low
EOS-00009,Samsung 4K Monitor S732,Monitor,Samsung,447.06,4.7,113.0,64.0,12.0,12.0,576,Medium
EOS-00010,Microsoft Kids Tablet P780,Tablet,Microsoft,,3.2,157.0,146.0,15.0,24.0,386,Low
EOS-00011,HP Ultrabook M364,Laptop,HP,1771.66,4.2,373.0,85.0,3.0,24.0,399,Low
EOS-00012,Razer USB-C Hub M589,Accessory,Razer,99.8,4.5,491.0,159.0,3.0,12.0,451,Medium
EOS-00013,Bose Earbuds A943,Headphones,Bose,255.8,4.1,132.0,12.0,9.0,6.0,572,Medium
EOS-00014,Acer Business Notebook X659,Laptop,Acer,713.83,3.5,83.0,72.0,25.0,12.0,628,High
EOS-00015,Motorola Budget Phone Y401,Smartphone,Motorola,725.23,3.7,169.0,141.0,13.0,24.0,566,Medium
EOS-00016,Microsoft Mini Tablet C747,Tablet,Microsoft,944.72,4.1,51.0,245.0,35.0,12.0,476,Medium
EOS-00017,Apple Foldable Phone I366,Smartphone,Apple,792.55,3.8,148.0,153.0,31.0,12.0,345,Low
EOS-00018,Hisense Mini LED TV P382,TV,Hisense,3879.775205136007,3.8,273.0,132.0,9.0,12.0,636,High
EOS-00019,Motorola 5G Phone Y763,Smartphone,Motorola,536.47,4.1,1859.0,136.0,17.0,24.0,554,Medium
EOS-00020,Sennheiser Earbuds U202,Headphones,Sennheiser,182.5,4.7,82.0,0.0,13.0,12.0,392,Low
EOS-00021,LG 4K Monitor L386,Monitor,LG,1381.66,3.3,58.0,333.0,0.0,,363,Low
EOS-00022,Motorola Budget Phone X563,Smartphone,Motorola,721.55,3.8,135.0,113.0,11.0,12.0,450,Medium
EOS-00023,Logitech Noise Cancelling Headphones I106,Headphones,Logitech,162.17,4.0,83.0,123.0,40.0,12.0,477,Medium
EOS-00024,Amazfit Hybrid Watch C664,Smartwatch,Amazfit,538.39,4.1,208.0,194.0,20.0,,429,Medium
EOS-00025,Meta VR Bundle D248,Gaming Console,Meta,336.29,4.1,374.0,,17.0,12.0,369,Low
EOS-00026,Xiaomi Foldable Phone J513,Smartphone,Xiaomi,875.22,3.8,142.0,106.0,30.0,24.0,691,High
