n_neighbors,weights,metric,mean_cv_train_f1_weighted,mean_cv_test_f1_weighted,std_cv_test_f1_weighted,rank
15,distance,euclidean,1.0,0.7921418765590825,0.02561702535065751,1
15,distance,minkowski,1.0,0.7921418765590825,0.02561702535065751,1
9,uniform,minkowski,0.8401277899779147,0.7907431331543261,0.024153259780500213,3
9,uniform,euclidean,0.8401277899779147,0.7907431331543261,0.024153259780500213,3
9,distance,euclidean,1.0,0.7905578941032223,0.02358637575415444,5
9,distance,minkowski,1.0,0.7905578941032223,0.02358637575415444,5
15,uniform,minkowski,0.8261088947011282,0.7902721205178989,0.027255666951680663,7
15,uniform,euclidean,0.8261088947011282,0.7902721205178989,0.027255666951680663,7
11,distance,euclidean,1.0,0.788587910244064,0.0179764831791565,9
11,distance,minkowski,1.0,0.788587910244064,0.0179764831791565,9
11,uniform,minkowski,0.8331303527137657,0.7876868959882789,0.017469193312823664,11
11,uniform,euclidean,0.8331303527137657,0.7876868959882789,0.017469193312823664,11
7,distance,euclidean,1.0,0.7867950703778069,0.01944087890500083,13
7,distance,minkowski,1.0,0.7867950703778069,0.01944087890500083,13
21,distance,minkowski,1.0,0.7847946289358316,0.021446828821624228,15
21,distance,euclidean,1.0,0.7847946289358316,0.021446828821624228,15
21,uniform,euclidean,0.8125380351560618,0.7844139271905357,0.019686428143400422,17
21,uniform,minkowski,0.8125380351560618,0.7844139271905357,0.019686428143400422,17
7,uniform,minkowski,0.8432672407148818,0.7842669047002012,0.021854210959292242,19
7,uniform,euclidean,0.8432672407148818,0.7842669047002012,0.021854210959292242,19
5,distance,euclidean,1.0,0.771173256270557,0.021633389809376798,21
5,distance,minkowski,1.0,0.771173256270557,0.021633389809376798,21
5,uniform,minkowski,0.8548218184477925,0.7668458036856929,0.023573936344706822,23
5,uniform,euclidean,0.8548218184477925,0.7668458036856929,0.023573936344706822,23
3,distance,euclidean,1.0,0.7519005370356767,0.011593689744987139,25
3,distance,minkowski,1.0,0.7519005370356767,0.011593689744987139,25
3,uniform,euclidean,0.878779739230894,0.7472798863929737,0.01048231264979806,27
3,uniform,minkowski,0.878779739230894,0.7472798863929737,0.01048231264979806,27
9,distance,manhattan,1.0,0.744337766046432,0.014450071458378407,29
11,uniform,manhattan,0.8129536079241981,0.7442454292212235,0.01627966844672875,30
9,uniform,manhattan,0.8188026430622342,0.7432097108526988,0.014932042186238611,31
11,distance,manhattan,1.0,0.7418361427997764,0.017309054314384308,32
15,uniform,manhattan,0.8001455103396962,0.7390634561859973,0.01569856096000761,33
7,uniform,manhattan,0.82973149034255,0.7390137641254582,0.01625641241454453,34
21,uniform,manhattan,0.7792592102287925,0.7383846632222348,0.025047293030562665,35
7,distance,manhattan,1.0,0.7377440669171451,0.014507685425534296,36
15,distance,manhattan,1.0,0.7359987777029696,0.022113594332235753,37
21,distance,manhattan,1.0,0.7344969255772296,0.0283153792490501,38
5,distance,manhattan,1.0,0.7306111861187718,0.023145265329006293,39
5,uniform,manhattan,0.8404861589762562,0.7274690866099138,0.0261551986947895,40
3,distance,manhattan,1.0,0.705190297761356,0.012211415005999466,41
3,uniform,manhattan,0.8629594955451271,0.6943600575877122,0.01511507559719291,42
