Algorithm,K,Init,NInit,Linkage,Metric,Inertia,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Cluster Distribution
KMeans,2,k-means++,10,,euclidean,16538.08366658727,0.13275028149083445,2.4786214873522123,333.357554216642,"{0: np.int64(777), 1: np.int64(1623)}"
KMeans,2,k-means++,20,,euclidean,16538.08366658727,0.13275028149083445,2.4786214873522123,333.357554216642,"{0: np.int64(777), 1: np.int64(1623)}"
KMeans,2,random,10,,euclidean,16538.08366658727,0.13275028149083445,2.4786214873522123,333.357554216642,"{0: np.int64(777), 1: np.int64(1623)}"
KMeans,2,random,20,,euclidean,16538.08366658727,0.13275028149083445,2.4786214873522123,333.357554216642,"{0: np.int64(777), 1: np.int64(1623)}"
KMeans,3,k-means++,10,,euclidean,15260.064116495238,0.112783675285494,2.4128373643792096,280.93620314454284,"{0: np.int64(550), 1: np.int64(1214), 2: np.int64(636)}"
KMeans,3,k-means++,20,,euclidean,15260.064116495238,0.112783675285494,2.4128373643792096,280.93620314454284,"{0: np.int64(550), 1: np.int64(1214), 2: np.int64(636)}"
KMeans,3,random,10,,euclidean,15260.150805370935,0.11294457798862095,2.4078688463508247,280.9277988592414,"{0: np.int64(636), 1: np.int64(1221), 2: np.int64(543)}"
KMeans,3,random,20,,euclidean,15260.064116495238,0.112783675285494,2.4128373643792096,280.93620314454284,"{0: np.int64(636), 1: np.int64(550), 2: np.int64(1214)}"
KMeans,4,k-means++,10,,euclidean,14251.413583754242,0.0991497016640173,2.3149366973037604,256.98874240914523,"{0: np.int64(547), 1: np.int64(460), 2: np.int64(655), 3: np.int64(738)}"
KMeans,4,k-means++,20,,euclidean,14251.413583754242,0.0991497016640173,2.3149366973037604,256.98874240914523,"{0: np.int64(547), 1: np.int64(460), 2: np.int64(655), 3: np.int64(738)}"
KMeans,4,random,10,,euclidean,14255.917458133445,0.09987752688596598,2.3072850209332665,256.6552290197637,"{0: np.int64(555), 1: np.int64(445), 2: np.int64(627), 3: np.int64(773)}"
KMeans,4,random,20,,euclidean,14251.41358375424,0.0991497016640173,2.3149366973037604,256.98874240914523,"{0: np.int64(460), 1: np.int64(655), 2: np.int64(547), 3: np.int64(738)}"
KMeans,5,k-means++,10,,euclidean,13476.816957997751,0.09459599477550162,2.1257178034231377,238.14844063524922,"{0: np.int64(497), 1: np.int64(492), 2: np.int64(500), 3: np.int64(373), 4: np.int64(538)}"
KMeans,5,k-means++,20,,euclidean,13476.052016791271,0.09439482971604672,2.121178306412253,238.19594550552443,"{0: np.int64(489), 1: np.int64(504), 2: np.int64(384), 3: np.int64(534), 4: np.int64(489)}"
KMeans,5,random,10,,euclidean,13477.356580687669,0.09460342966594103,2.122162996813869,238.11493188410628,"{0: np.int64(497), 1: np.int64(490), 2: np.int64(537), 3: np.int64(381), 4: np.int64(495)}"
KMeans,5,random,20,,euclidean,13476.760438171537,0.09462683796577792,2.1257904384427855,238.15195048130144,"{0: np.int64(372), 1: np.int64(503), 2: np.int64(530), 3: np.int64(447), 4: np.int64(548)}"
KMeans,6,k-means++,10,,euclidean,12881.565706194015,0.09270902069731107,2.007922394998101,221.36444108678253,"{0: np.int64(414), 1: np.int64(369), 2: np.int64(338), 3: np.int64(372), 4: np.int64(461), 5: np.int64(446)}"
KMeans,6,k-means++,20,,euclidean,12880.769315757323,0.09271162306937557,2.0095506944655512,221.4077307577118,"{0: np.int64(383), 1: np.int64(410), 2: np.int64(449), 3: np.int64(454), 4: np.int64(374), 5: np.int64(330)}"
KMeans,6,random,10,,euclidean,12880.474814479016,0.09265955066637617,2.0061419178256084,221.42374042154475,"{0: np.int64(455), 1: np.int64(373), 2: np.int64(339), 3: np.int64(457), 4: np.int64(367), 5: np.int64(409)}"
KMeans,6,random,20,,euclidean,12880.474814479014,0.09265955066637617,2.0061419178256084,221.42374042154475,"{0: np.int64(455), 1: np.int64(373), 2: np.int64(339), 3: np.int64(457), 4: np.int64(367), 5: np.int64(409)}"
Agglomerative,2,,,ward,euclidean,,0.11461628470578186,2.7440686924181596,266.45040602108907,"{0: np.int64(1665), 1: np.int64(735)}"
